id,description,value
155,"Un4JCRpZZIXIyKP",8.119784
156,"0r2ZpzWgv3DWHCg",154.197876
157,"Ey1cit3i21hdmlI",0.767533
158,"xeghMajUrlV05jQ",252.351020
159,"tOnSlxWdyBcsbDc",2.981549
160,"obOXGGNt1lpimpv",0.261061
161,"Q9A9jIW2tBUvZzY",5.841940
162,"t0nK5xrmk77YTHo",1.169971
163,"xQV8d4v0ZRxemoF",6.598628
164,"IURbJW5DoUHRcvX",0.632669
165,"xsLTp3VKsSD2F07",783.518381
166,"2YnpG14uqV2jRTM",8.349589
167,"G2ywDC0pQB5WIaH",13.178763
168,"TLiFzQB9VGhrmYE",0.556348
169,"dg8vS3WI0IIau9b",0.779453
170,"GtHN7lojzcmEP62",0.098354
171,"wjqby6N0Pj1vRpo",0.390862
172,"HZZ2szvomtdw1Nf",5.556127
173,"xqyy70BH8aFNkjO",0.796516
174,"s2raXXQfcHaUwpv",496.605132
175,"ysSlKC5aglupPAT",63.139053
176,"hzmxzOEadRg9Bb7",9.423147
177,"TBVO0mvMB11a0BA",3.351911
178,"84bDD31KBqssvug",131.685195
179,"In2hukwaInRBoYc",0.993266
180,"hqKvJDg69MiOwz8",0.209241
181,"3985qslF2M1x6Mr",7.369576
182,"PtHtuRH5fHDHxQ4",16.075838
183,"v9eJjykWgjtUgcF",95.913383
184,"zZXAUuaVtGWc5Ec",365.111733
185,"CoBbQCK1Jnzt1Dr",0.631527
186,"tazJoAZyhhKC4Up",0.739987
187,"As7Oos4Ssr0Z5RQ",0.886546
188,"VkKiwJGuqul2Qfz",212.033943
189,"KrtqwAuCT9b3hTY",8.781442
190,"lehVDfehHnoGfMt",0.097298
191,"RMvXUY3dOWKx4GJ",1.774288
192,"kcoF8ENtYWxwQPl",893.403233
193,"LSXIn8BrmQfM9iu",4.086596
194,"MGvJQWPDNQUxD7H",5.226272
195,"g1seya7Hyrww9vv",0.149389
196,"7Oz3CHzTdG8Ct3F",0.777094
197,"TFLVYSTWrji4JaN",3.854884
198,"tA3aNWQQpK0FWbH",0.205481
199,"eQ64xlyzlOk2Jos",5.250740
200,"77hQYRyUCjmnIjX",517.523608
201,"Aq3vmJio6ny4byN",0.534954
202,"3tgx1eRhcJpmKdF",5.401778
203,"h5JheRqoP3ZzBIE",3.593239
204,"TEFAOSqkMWhy8IS",343.545251
205,"yWMAn999nJGKXfb",0.877468
206,"vDdVNWN5GRC0cR3",0.081293
207,"U9Nw2jwxg3FM793",942.694829
208,"ZK1MOgF6bfpZa5e",0.531740
209,"qjbE5cMbyURHCkw",4.516415
210,"MjyPHejmFCfS6sI",9.640034
211,"ibJjf0IkWTRBJH7",85.594371
212,"sTdne0C1vgB4O6B",779.021770
213,"kCnmHV5Ai0hO1gp",0.578634
214,"h2JypkWFu2qTpWm",0.620110
215,"6gUhBAvxijPJf3b",95.566996
216,"2BVSgCYcMrBkGFt",401.955370
217,"DJd8XqSQtXwo5L4",0.473929
218,"Faz3fJgvxt8RdHX",43.459777
219,"2CxzLzMdonIn3MB",72.009229
220,"uoY63SmoHZ6gWry",78.556801
221,"bivnZs8u3lUduPw",1.447364
222,"iNYPvTjxTl5OT3a",26.972147
223,"oDULlSdmmL4owqn",0.277165
224,"ki51Yx4NTd10pR7",0.701863
225,"AOhk2wTqHwnNE5t",0.304889
226,"VdIxjsVdOu7Hfn5",0.158340
227,"Cm3XjOjcdbdTDsY",77.298880
228,"gbksuaT6AqcNgZJ",5.676412
229,"CCFN7aCDNz83lny",510.753059
230,"kgbx4xqX5mk3k7P",33.014589
231,"qosb0tcnQf0Pwgo",4.442631
232,"nLj0GTA9R51gfzJ",482.100954
233,"iNvqfT50kGUiuV4",488.411914
234,"0JH1kLrnW9cv1qu",0.086490
235,"jKzI8uVXsuEsZ8N",4.733700
236,"24eW1flWeYBj2do",19.032731
237,"PdA8h4AUhkmMNxA",0.445860
238,"f3aKtjIP1TVR2IU",75.130042
239,"LW89CQgfpWnXHk5",147.157638
240,"AoVUWepFkA5vDZC",0.770335
241,"VUoqhGwS0rieLu5",0.380360
242,"lLHk4IdPLuTjskv",0.072137
243,"MOIVjKq2wuBXQLK",0.563065
244,"njcADxdvhNxPz5N",3.287217
245,"1pW8qR8mvA1yjPT",0.408884
246,"1LTc0vDP6x1NebL",49.021237
247,"DXeghxmruXHjMMO",61.072526
248,"NZ4HGtie9m4ZLuW",93.860686
249,"CFVDrTHuEMiDpjZ",17.210023
250,"R4kXBOluTbncDmc",5.603345
251,"26LYv05BpkfDrKl",51.337834
252,"BOGSNdS4sdRZIhr",4.150737
253,"Lu5H5KLazTz3Etm",0.540587
254,"fl2H19Rgw0V3wdb",3.022728
255,"q9McZR9iJSRyUIh",393.789561
256,"ii98dwysjHeUXep",4.528081
257,"8d10bSaQqXa4ura",48.229129
258,"vnIMtci0HwZPKcT",184.395401
259,"LrH5c0Y7fS18fzV",4.803769
260,"8DLI97uL0858515",1.652937
261,"RmU1M6Qa0i20CC4",0.124604
262,"KeSMdlvp46cXwuP",95.251064
263,"ulNuQChTr9mW7QE",74.554249
264,"CochVfcllgkbX4n",4.074226
265,"Jh0aRMqKSsnqTU7",7.217497
266,"CUH2lFgCMMo5Z28",5.176701
267,"xNU0mAXHuDhnmEt",391.179737
268,"G57Bnp9GuS3236k",0.871741
269,"2cwDbkV1VI1pLa1",761.416459
270,"bZKr2w2aaxOBv4c",479.844048
271,"4zfaRSBy8iotUiK",1.363202
272,"kwo6aiSYZled4O5",1.267356
273,"06BCRfALz2tYIo6",57.817102
274,"7J7EOP1lZeeGAGT",0.777851
275,"FHjBGF6M4nOBHuR",622.316604
276,"XPjnv116Jcpg0DJ",422.276446
277,"CoSyNFo9gqQPH2Q",71.623228
278,"AKzIwBhR6zKLDNe",9.233318
279,"RDL5jrrK9H8pGuN",0.326767
280,"ONZFeGTS8MJNszU",10.046521
281,"c3ywlC4tWzUDCRV",0.613559
282,"Kg9xfmUBkLmqh73",0.100054
283,"yv1SCs6GGb0LVlG",0.646121
284,"gb9qKB65doeX2D2",68.792555
285,"ySYDI3sgEaGLezX",4.941283
286,"RH0orgJIWuHe6Rv",60.168829
287,"uY1IRSQQko3aEkQ",889.274578
288,"qUgMndbeXNJXQEG",2.669904
289,"xomcpJv2bnDraNS",22.127313
290,"kh8Wp40BrSGihVG",0.379237
291,"p7XJuWc01TetbnQ",0.458551
292,"PE9yxWXtkR1kw4i",8.462333
293,"vkleG5Dg4Z62NzZ",3.427009
294,"H079KTMxEadSWr0",4.953996
295,"RjB8TIQawGpMWGV",529.370401
296,"7D247tHHhrdrxy4",70.168370
297,"LSfRvzuAMMgyZbe",35.414568
298,"eb8mLvrFN4CcDGg",72.728266
299,"O8lhDDg1yXH8mBZ",0.178221
300,"jjfsbABXBkXi1RI",227.917236
301,"h3cdPNqDxyCRewZ",7.407553
302,"dzKkBzjnior7r4p",71.134388
303,"mAPDEFgEQOQJ0Z5",6.679637
304,"AP7PBF4YmqFBajP",5.609098
305,"5OPhRYO0kUYZ3oq",0.598603
306,"3JEW6P6QSB013fw",866.976064
307,"e7nKeNDjUjhwUHD",34.857775
308,"7OQI5yRRhGnQSw4",6.125643
309,"LlcPoMFGSN2Re2A",93.333581
310,"x7DF8JhMI1jfe6l",1.098682
311,"8A3Z8BMxkpHtqpi",0.030735
312,"zbuboHGh07wJV5Y",923.096598
313,"A8npCM9IrHAlmvu",165.950204
314,"n5xILOEuoeC4ajT",72.715591
315,"1tHMAyzrqbtIYez",0.349783
316,"kNtNXTxfy15bo2F",79.485620
317,"xNdc8dU9pLJdRdP",559.627377
318,"YY9XJqP4w3Su8Kv",323.268129
319,"jNsqlwdIYReJioj",69.896158
320,"izDuBHoLlJaSSiz",0.771712
321,"7TBgwPV0UXTGotD",65.651188
322,"ixRoYGkgpFVdSCI",0.503272
323,"caYVdvIpMRAcITo",667.079524
324,"M0lCHVumRCxkSLg",8.439582
325,"PRbtUGGOlaBvhLd",3.243371
326,"YFMBn9YEMyjWOQA",0.929556
327,"pELVqvonfDwVZRq",0.740269
328,"RGTShgV8ouoGWis",730.563782
329,"m9N7mNlG0BnRx4d",0.744856
330,"8oL4vzAm30k4RLv",8.705633
331,"GUJmQvOAB0E6R3a",49.285159
332,"uToqG3ETx5cklhQ",82.470103
333,"rZtZWQyEp98XJzJ",0.098269
334,"pTilk26eEXGMNVI",4.553598
335,"xVmsZguDat6BmUX",2.266702
336,"OmnWKkU9CK5Ke4V",524.895019
337,"COaCM6fm4rqFRel",34.850855
338,"NegsqKb01VUyxWL",0.766719
339,"M5HngO1MlsLd47J",6.535459
340,"WvyXfw8y190nkKU",8.080339
341,"yIEtDpEWMOvHOye",0.872282
342,"QzuFRrYkMI98EpK",2.355491
343,"ZvgQJm0G0y3ggOe",994.877037
344,"bUK5poO789jd4JH",4.009961
345,"un3Ong4QvbNv0OL",243.347463
346,"8Xs8LKpmHBGcFW1",4.685415
347,"X3h2r0IKQEatWIv",0.893192
348,"udjLo9YR6oYGq2b",7.655706
349,"rSQMSW8UOfrASKR",6.339261
350,"Unpl77U56BsFt0D",0.261080
351,"VGKPXdpsYmZcHSV",0.939054
352,"LovIsI16qIEz0Bq",0.917223
353,"89jRaHXk4stwjWH",450.699005
354,"Zpt9G6Er2AmlIJ1",91.775532
355,"CxW48obeXHRGqTh",0.552470
356,"a2EeJGLe7lBphQH",808.319445
357,"2fEvySmIwImxcxp",93.511992
358,"q5muWakyhodzlRg",1.220005
359,"lMlOsjxpBECaKfy",8.247542
360,"Tfu5kbHF5FHLgdl",0.658969
361,"G1Db3xtivncmd80",0.672278
362,"bifPSSouRRxlSkX",15.127938
363,"H390cIO4MYFwB4v",0.318124
364,"UJ6Ka7Qbp92ZvU0",83.872685
365,"DBlyJ51qT8N8DCT",0.832869
366,"Z9wWX7KsQynkfYr",85.862688
367,"UXS00JNNpoKbjCY",69.712984
368,"iNFuvUodGYQwkpx",8.592851
369,"iiDg2xpFJIj0WmW",917.618143
370,"ux91Hq6dNTd7rcv",95.450104
371,"HYBJ65KO3Rn2W3g",77.762196
372,"2P6oE39baASfcAt",6.124457
373,"omQpnj2qxBD8vqx",0.585414
374,"Atb5d0qEwDZNV0t",0.319486
375,"6WDy5zH8drKEeKy",5.005200
376,"bGnWkIPvFVyVCoC",8.598978
377,"WsijSLRSbB8ZvN4",0.480583
378,"DqHKHWnDRNcA89f",1.276721
379,"8RCQr0qtnc0R8nQ",0.150312
380,"UZb5WrQLaSWgwzq",45.083908
381,"e4J7AqLf6lNAe7m",21.854308
382,"NNmcRcz0bb5Yf8T",8.992306
383,"cgWEwlfjhqFA2CZ",33.621026
384,"E9nLs105dkQIlqD",0.462692
385,"d8XN4CsUzSPqb9G",0.607863
386,"fZbzBW9ZDDvEjXw",0.890330
387,"x8qOrqgcPIVDON0",13.359903
388,"q8SKgDawG1cYNKk",576.175522
389,"CbQADeFXPcF3Vfa",356.492698
390,"LwCKIgHwH4Vaz5O",20.476529
391,"94qEa96ouSHoLx7",6.875766
392,"CvYx4cmaxCKYtLx",169.750003
393,"55KDvIYPILf4AuO",0.056243
394,"82yEs0RJGa7bTo2",4.509886
395,"xJhHY57fMiY73rf",795.585133
396,"izrEKOsPzUeKcTP",0.428560
397,"UWXRH6fJp19Dwrq",4.756438
398,"yj5jZw8lBfEV5Kd",170.445375
399,"ChXIQSCjm1sveRj",0.044493
400,"HTltFT5DIPqZ3Zi",0.100061
401,"sfXaH6b4VnH4A3F",0.217223
402,"j5icsWdMDDTkEEp",8.534067
403,"ia2KalRyZamDIHo",10.586372
404,"2kWzBquEYJxaLP1",17.646924
405,"dnh9to1khPSc2pX",24.701076
406,"3NItpz65QVXeMgI",2.187960
407,"d1c2jsADjBNNF4u",22.224423
408,"p0NlATMTI4z52q0",5.320565
409,"UR5z98iUDbjlAYK",5.668315
410,"QcqOG8OUGvHcUTS",0.160077
411,"mUsjVj4yxoqjyhG",0.090470
412,"mP5nNroIA5BVNEn",0.352088
413,"ivfbimeLvgmJcdC",0.026633
414,"wI0BOLP6fSzzhKw",563.319194
415,"vy9O7oHo1kV05R0",483.844927
416,"h7MvsXqIwTlidFP",63.066095
417,"Ka4vTpqbSJHnedD",7.558357
418,"1JMAW881tvBWaWq",26.575584
419,"JMBxf0A5BFPK5xS",19.012677
420,"3ZphP1JgfUbJV2B",1.551526
421,"uMRv366Bp8HvyG9",43.727157
422,"ci5LOO1cthMnewJ",76.997609
423,"Os3zO6WBVmT9T0V",51.582418
424,"4FPmQsHspKnDLTm",0.181186
425,"ofa9rtLiw6rQrkl",217.071440
426,"mHFszSSCDFAPYtO",394.944596
427,"gCRJP4Mq3fiTeGT",800.552311
428,"DhAIhHG3USO3lAV",0.168174
429,"ydpH5cOBRhqELG0",31.700465
430,"Zom7y0U4dmyFO9q",0.411100
431,"oINto06gUupjfUm",9.783740
432,"h5BxOYnGsMH1MY7",336.884467
433,"8oCZYcypdPfrkHp",770.502677
434,"a0PJSQO0eAY2taT",8.248992
435,"TYjdiwRWh8P2Eb5",5.258589
436,"FNTDRXlZFx01oyZ",1.069875
437,"RkFV7vmCQmbcPht",978.237013
438,"gIZURogY8Sk0FlU",3.780657
439,"yMbJyFEIJis3ktb",56.044274
440,"ZxQDgJmEVNdfvBQ",0.525839
441,"jnThjH3c6ASmrB1",0.189426
442,"f2a2SuLERQcREJS",370.452680
443,"0aH5VXAa8QoeKTQ",411.654066
444,"lAuDUD1ju2Krzo5",6.036502
445,"EPrnvyKAPYzZxdD",0.395911
446,"lryPndYlsSMnCJu",0.167040
447,"pRAkaaW6iKhWXnP",91.555243
448,"1gORRKRgdglVOzs",55.493751
449,"Blc7vKCt2v2Ll7I",0.839027
450,"DDlJGXgGO3bnyGg",122.346770
451,"TJNC5jsRGOi9aKZ",5.310389
452,"tgaZQsuycRpWEgr",50.859817
453,"W66QCo8zUUwebic",0.844303
454,"y7tq7LQUOCMnNrC",0.276916
455,"voVB5T2lEC6SIQi",0.499341
456,"45hj0GEGd4YDFk2",6.077859
457,"ZpiJiHYyyD4x0al",428.631747
458,"3AEquwuPTN243oA",5.970197
459,"GXYR0eRVxtRDIJw",0.180391
460,"ctTmjf0RtXs2nLx",0.450767
461,"LTN3Dy6CXyuegUI",4.745631
462,"yfLkVBd8wYCS6Tx",2.143165
463,"gjDcAbq7nzVOnbK",2.487223
464,"H8sBtlMnwZkGpkR",843.506854
465,"NgnEUB7KWprfEj8",77.451152
466,"duddigusyr0YNR5",26.967441
467,"z9poNhtM9bI3Phv",1.395664
468,"0T26c3V9sT4lXrv",29.061574
469,"Shx2670L3UahXHP",0.406397
470,"vz2OW2SW3bAe9qh",0.053904
471,"r5eHiaHrr150b7F",933.796790
472,"9cXmYlrl0rvABgm",81.392919
473,"vnAvzGCvrmkO8XM",727.548971
474,"hRfcaFCxZCSluTr",9.371505
475,"NcLgVHZpWxHUrd0",7.822407
476,"kxad9UgGVgAVtLZ",0.338380
477,"ZqfC9M3dTTr93In",80.838032
478,"ovaLg9a130vtVFw",0.370947
479,"XpPgFdxeM5BmeyL",26.047863
480,"n824cehLW4I46XE",528.978131
481,"bZ22ZVZ6plqdnYO",9.425155
482,"UVSFVkTCTDFOkCa",0.178888
483,"GXk3aCOGk6Jsx5n",3.362229
484,"X0zaxoqNtEIzyCx",0.773678
485,"EsBWs23IgaV6Mkr",3.523475
486,"p0z4PltJDn5MySU",0.846240
487,"fQUkmHrlPv1YA20",0.983449
488,"0jZazXhQlfeHDy9",333.812451
489,"ZjLU3qDSr1Lzmp5",0.375540
490,"2tsBAPMspXpm6CJ",18.680248
491,"KiB7Z48FaDv6lol",0.170633
492,"oQLPPogVV3fzfia",91.100076
493,"rldLvyJHAoRHy2X",66.653118
494,"YtgguJChEzAITUu",0.654293
495,"B0cu1VHTYjiLRnV",127.858813
496,"yDCJBzzCpeLrHDy",3.742166
497,"YILd9nkw7lyDy7o",0.355652
498,"KaQ211k4Xa934OD",683.080771
499,"5BN0ruKRkbOWU5X",0.115402
500,"w2sGVAec0xQ7k9g",0.084922
501,"c7KYbPkhk5fbzIb",5.948216
502,"nUHJmIMOV8fBt2g",641.713223
503,"bAVjC3k9DoWCjLB",5.942224
504,"gl32sWHHTG3BvPJ",0.195621
505,"4b1ot0vDt39WkFr",0.174528
506,"0wfxt1jWjJGqFUP",4.821450
507,"1JZmKstsNjsyRwr",0.038993
508,"HkR2LzbVSa24zWD",0.338630
509,"XlbnjenKI5c6Gaz",117.286985
510,"mlAVLaxVxmNQnLo",385.542122
511,"v84BDeG88n1QmdA",1.939780
512,"kaWmf0GygbEw3hs",0.317864
513,"EYEBHHg4vl9PbL6",2.743416
514,"qQUcAVBHZxX61eD",682.356759
515,"zPoX1b62zD9pz2q",5.210361
516,"TJi3dB4MNyEicTU",0.617489
517,"HLlxXnSnlzy3u7g",546.769159
518,"6AFuAhyEKjoM8ov",30.063680
519,"rWb5JU47v5j2z7D",0.283397
520,"8wo3AtgaLAxmoxE",24.758995
521,"pPFSpSPW3lJdbD5",4.473963
522,"hllZJcUWPE75us0",94.065061
523,"cg97UtPpNh78IaN",6.655099
524,"eoLtCXweKPMPaWm",20.988403
525,"GDcXJ3fiMzjGzZW",0.309074
526,"NE6P8o3mQwvVx0o",0.286243
527,"W81uwP8bajY0tgm",457.910754
528,"cV8XlnKYbzxN137",81.559847
529,"HIEaz3kDEvmIRSR",162.262538
530,"pgHmCGQqRg6Uxrx",0.225572
531,"GJVlBvLpDcvrFls",0.675954
532,"LQ5mfz8ISgLNV9z",863.098992
533,"ibKfgIyWgBLbnxZ",33.590625
534,"s91LeP6jcZZ5OpS",906.256410
535,"KP7du8ZjChJEJQy",695.172731
536,"wplGvWtTjjodg3z",56.130797
537,"wyBCz2tnWbhYs0x",492.780108
538,"VRhhgV9pbnpupIg",0.212163
539,"wNb0TqabrohIJUW",4.044309
540,"VbZbAB2WcSH2LSS",0.101000
541,"ouXZHPC3CEDxxSM",0.786284
542,"vie2H65M9BfXnbU",0.169186
543,"ZKXBr0Yl3ddjl9G",789.299815
544,"BLjdJhZy2zFSQI5",0.485764
545,"MPy9EIwFXPOXPWT",0.363071
546,"OslnVjqUpO9fXWP",0.349351
547,"WRQUjdgai8zeIgg",0.611501
548,"Sx9IB2wFUUBYelK",0.373952
549,"XkEy4Kj4XykWZq8",0.229797
550,"j5HcxLA42asgAWC",0.078885
551,"UHI18v3Fb8ZnwA5",45.259619
552,"CgkjTXUWS8mdozX",1.678127
553,"CCyAwEoeVkJ9nW6",0.048406
554,"TUnIDHmaPkLVcJk",4.904935
555,"L9JawZB4yMvKGIh",95.486595
556,"bio2Wpx70UI05dd",801.576127
557,"qzzJR5jXavdKWfS",436.775978
558,"az2I84U5q8dHUQF",6.587175
559,"lgBTjd1Ss8Xncez",0.622479
560,"T7FEsxlJQb57fYm",0.702312
561,"yzRhouHsYN6VjdI",383.168785
562,"4WZYwLgFMhrk3xP",602.099689
563,"vkIWQHZN0wGrXWG",9.263149
564,"STo7tDnzTtdIAlT",9.243445
565,"q20lTcOQ8WMPPKl",20.040486
566,"xvRxMc41458gmiU",7.634558
567,"m39uTFpwkUo8aAu",8.131871
568,"73MinkcmsDulIg7",64.159687
569,"eldjkmBBNcrIkb0",0.178194
570,"dLGB1XpAhRUX1u0",769.931662
571,"wIrTQi57YwI3alK",0.298008
572,"iHSqf4gnUtqEABW",14.894173
573,"zTcXu5FGoeyINkl",0.590914
574,"aRK7w7JQPAxF1Yw",669.390834
575,"1ba7eu44nxk1Rrn",0.460762
576,"53VPEHyE70d7VvZ",92.642512
577,"RntsOTfiAnJA3aR",1.202268
578,"4pm8NzhjmeNzSzw",0.038573
579,"UiY0TtLeWqgWgFR",88.017013
580,"pUfPrsdz86HofZa",9.210492
581,"TxmKBQTPWmFSWYs",982.760929
582,"sBuXAsjYd3viQ8c",68.666299
583,"LQmKT7xCei0CyWr",13.872537
584,"j9JBEFJWqJM4FQ6",0.280646
585,"gGRZekXjDjsnNt8",94.389112
586,"bB7gvspuxHFu99l",0.916656
587,"nu4ZrLcGzHwOEem",950.675193
588,"3J6mjuiEyIrtxQH",4.518995
589,"qskGjkjXJmsN4cQ",1.825331
590,"xxagwshysosjpbM",0.379097
591,"MYpHTFAlQYGYimf",8.813142
592,"t8Qy3DXkoyvIJB3",1.019487
593,"yjqXtLqFSKBfF8r",8.074441
594,"BN2ZEcbz3mDfuYC",0.933029
595,"VVDqBzV5zCdtmyd",0.891328
596,"eplIz12KK5dzbnW",93.463928
597,"P2fwoPnsHKIjTqK",974.080451
598,"xpRWxHZnmsRTq6J",731.306677
